Unique ID,Data Source,WDFW ID,DNR ID,RMAP ID,QIN ID,FS ID,CSP ID,PRISM Project #,Barrier Type,Latitude (from database),Longitude (from database),Latitude (map adjusted),Longitude (map adjusted),Stream Name,Tributary To Name,Interested Parties,Road Ownership,Road Name,Road Block,Road Number,Mile Post,County,HUC 10 Name,WRIA,Barrier Status,Barrier Passability,Reason,Verified,VerifiedDate,Barrier Width (m),Barrier Height (m),Barrier Length (m),Road Fill Depth (m),Channel Width (m),Priority Index (PI),Comments,Record Update Date,Record Update Person,On NHD?,Multiple Pipes,Include in Prioritization?,Barrier Flag,Total Prioritization Score,Downstream Barrier Count,"Total Habitat Gain (Coho, miles)","Total Habitat Gain (Steelhead, miles)","Total Habitat Gain (Chinook, miles)","Total Habitat Gain (Resident, miles)",x,y
CWCC.01955,DNR,,19222,2690012,,,,,Culvert,47.56397,-124.078187,47.56397,-124.078186999,unnamed,unnamed,Quinault,State,FR-Q-1870,QUEETS,Q-1870,,Jefferson,Queets River,21,Barrier,Unknown Passability,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,"7/17/19DB-per ICN and FPA, rock weir to be installed, does not need fish passage","7/16/2019, 5:00 PM",DB,No,No,No,,,,,,,,-13812320.5953356,6034619.12120922
CWCC.01956,DNR,,19223,2690012,,,,,Culvert,47.54956,-124.080085,47.549607069,-124.080138643,unnamed,unnamed,Quinault,State,FR-Q-1210,QUEETS,,,Jefferson,Queets River,21,Barrier,Unknown Passability,NA,No,,-99.99,-99.99,-999.9,-999.9,-99.99,,"7/18/19DB-removal per FPA, 36""CMP on 10'BFW","7/17/2019, 5:00 PM",DB,No,No,No,,,,,,,,-13812537.851331508,6032249.924287804
CWCC.02036,QIN.off,900021,12636,2690012,,,,,Culvert,47.5384800006,-124.077179999999,47.538486076,-124.077163582,unnamed,Salmon River,Quinault,State,Nfd 2331,QUEETS,Q_1000,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,"11/2/2016, 5:00 PM",3.05,3.05,26.1,5,1.59,,"REPLACE,deep fill on 4-6 foot NP;12/31/14DB- chg to FP per AnnRpt, stream stim culvert installed 2014;11/3/16-JG site visit,FP but regrade more than anticipated, much of fill washed out, fill is sloughing off, FPA to be renewed to address issues","11/6/2016, 4:00 PM",DB,Yes,No,No,,,,,,,,-13812206.668982673,6030415.937966768
CWCC.02043,QIN.off,,12624,2690012,,,,,Culvert,47.5525293691,-124.059117899,47.5525203720001,-124.059130083,unnamed,unnamed,Quinault,State,Q_1200_11975,QUEETS,Q_1200_11975,,Jefferson,Queets River,21,No Barrier,100%,NA,No,,-99.99,-99.99,-999.9,-999.9,-99.99,,"24""CMP,POOR,4'BFW,,REMOVE;10/27/14 DB WTM F stream;7/23/15DB-chg sched dt per LO Email;1/22/16DB-chg sched dt per 15 Rpt;12/27/17DB-chg schd dt per 17 Rpt;5/30/18D-remove per FPA;1/3/19DB-per 18 AnnRpt fixed","1/2/2019, 4:00 PM",DB,Yes,No,No,,,,,,,,-13810199.189112863,6032730.427466276
CWCC.02044,QIN.off,,12625,2690012,,,,,Bridge,47.5585959996,-124.052559,47.5581421250001,-124.052782428,unnamed,unnamed,Quinault,State,,QUEETS,,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,"BRIDGE, OK","10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13809492.571349315,6033657.72211554
CWCC.02045,QIN.off,,12626,2690012,,,,,Culvert,47.5488529993999,-124.054423,47.548739336,-124.054380974,unnamed,unnamed,Quinault,State,Q_1200,QUEETS,Q_1200,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,REPLACED W/11'X60''CMP,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13809670.52073972,6032106.810538293
CWCC.02046,QIN.off,,12631,2690012,,,,,Culvert,47.5381110001,-124.085674999,47.538126338,-124.085664672,unnamed,unnamed,Quinault,State,Q_1000,QUEETS,Q_1000,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,"11/2/2016, 5:00 PM",-99.99,-99.99,-999.9,-999.9,-99.99,,"36""CMP,POOR,ROTTEN,EVIDENCE PIPE FILLS COMPLETELY AT HIGH FLOWS AND FLOW SCOURS ROAD FILL AT INLET;12/31/14DB-chg to FP per AnnRpt, stream sim culvert installed;11/6/15DB-JG site visit, 11', new culvert, no issues;11/13/16JG site visit, no issues","8/11/2020, 5:00 PM",bkrier,Yes,No,No,,,,,,,,-13813153.006066153,6030356.619310009
CWCC.02047,QIN.off,900022,12632,2690012,,,,,Culvert,47.5410050002,-124.068203999999,47.5410105460001,-124.06822457,unnamed,Salmon River,Quinault,State,Nfd 2331,QUEETS,Q_1000,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,"11/3/2016, 5:00 PM",6.4,3.2,26.3,7,3.79,,"36""CMP,ROTTEN;12/31/14 DB chg to FP per AnnRpt, multi-plate arch installed 2014;11/4/16-JG site visit, open arch, issues w/fill erosion and ditch erosion, FPA to be renewed to do addl. work, Monitor, Add SE pt","11/6/2016, 4:00 PM",DB,Yes,No,No,,,,,,,,-13811211.582706597,6030832.219408879
CWCC.02048,QIN.off,,12633,2690012,,,,,Culvert,47.542872,-124.071038001,47.5428308570001,-124.071006997,unnamed,unnamed,Quinault,State,FR-Q-1200,QUEETS,Q_1200,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,REMOVED,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13811521.321085209,6031132.398600026
CWCC.02049,QIN.off,,12634,2690012,,,,,Culvert,47.5431880001999,-124.071200998999,47.5430502150001,-124.071270266,unnamed,unnamed,Quinault,State,Q_1205,QUEETS,Q_1205,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,REMOVED,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13811550.62811201,6031168.572656868
CWCC.02050,QIN.off,,12635,2690012,,,,,Culvert,47.5435950000999,-124.072254999999,47.5435113550001,-124.072320629,unnamed,unnamed,Quinault,State,Q_1205,QUEETS,Q_1205,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,REMOVED,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13811667.553937612,6031244.619069108
CWCC.02051,QIN.off,,12639,2690012,,,,,Bridge,47.5668390001999,-124.076994999999,47.5668505130001,-124.0769955,Matheny Creek,Queets River,Quinault,State,Q_1880,QUEETS,Q_1880,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,BRIDGE,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13812187.958246002,6035094.346326112
CWCC.02175,QIN.off,,13216,2690012,,,,,Bridge,47.5354639998,-124.061220000999,47.5353112500001,-124.061072026,Salmon River,Queets River,Quinault,Federal,FS 21,QUEETS,,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,BRIDGE,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13810415.36515364,6029892.442210091
CWCC.02176,QIN.off,,13217,2690012,,,,,Bridge,47.5412950001,-124.064283998999,47.5413535110001,-124.06433406,unnamed,unnamed,Quinault,State,Q_1000,QUEETS,Q_1000,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,BRIDGE,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13810778.49313383,6030888.775418004
CWCC.02177,QIN.off,,13218,2690012,,,,,Bridge,47.5423710003,-124.059544,47.542359133,-124.059548017,unnamed,unnamed,Quinault,State,Q_1200,QUEETS,Q_1200,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,BRIDGE,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13810245.713335698,6031054.607770896
CWCC.02178,QIN.off,,13219,2690012,,,,,Culvert,47.5457219997,-124.05638,47.5456153320001,-124.056300039,unnamed,unnamed,Quinault,State,Q_1200,QUEETS,Q_1200,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,,-99.99,-99.99,-999.9,-999.9,-99.99,,REPLACED W/6.5'X40'CMP,"10/13/2014, 5:00 PM",DB,Yes,No,No,,,,,,,,-13809884.150030343,6031591.593821104
CWCC.02256,QIN.off,,13769,2690012,,,,,Culvert,47.5629627312,-124.082954357,47.562962731,-124.082954357,unnamed,unnamed,Quinault,State,Q-1800,QUEETS,Q-1800,,Jefferson,Queets River,21,No Barrier,100%,NA,No,,-99.99,-99.99,-999.9,-999.9,-99.99,,"UNDERSIZED-PERCHED;7/16/14  WTM 2014;108/14 site visit by JG, perched by 8"", 56"" CMP, BFW 3-4', 12' rd fill, fair cond., rust, WTM confirm F ;12/21/16DB-chg sched dt, move loc per AnnRpt;4/5/17DB-replace per FPA w/120X100;12/28/17DB-chg to FP perAnnRpt","12/27/2017, 4:00 PM",DB,No,No,No,,,,,,,,-13812851.2951595,6034452.948737114
CWCC.02257,QIN.off,,13771,2690012,,,,,Culvert,47.5653199998999,-124.076519998999,47.565282229,-124.076511461,unnamed,unnamed,Quinault,State,Q-1800,QUEETS,Q-1800,,Jefferson,Queets River,21,No Barrier,100%,NA,No,,-99.99,-99.99,-999.9,-999.9,-99.99,,"UNDERSIZED, RUSTED & PARTIALLY PLUGGED. ;7/16/14 WTM 2014;10/8/14 JG visit 24"" 30' CMP, BFW 3.5', 4' road fill, rusted, partial blockage, WTM  F stream;12/21/16DB-chg sched dt per AnnRpt;4/5/17DB-replace per FPA w/108X43;12/28/17 chg to FP per AnnRpt","4/4/2017, 5:00 PM",DB,Yes,No,No,,,,,,,,-13812134.075206738,6034835.608645411
CWCC.02547,QIN.off,,19082,2690012,,,,,Culvert,47.5635390009,-124.079259501999,47.563539001,-124.079259503,unnamed,unnamed,Quinault,State,Q-1800,QUEETS,Q-1800,,Jefferson,Queets River,21,Barrier,Unknown Passability,NA,Yes,"11/2/2016, 5:00 PM",-99.99,-99.99,-999.9,-999.9,-99.99,,"11/15/17DB-new pt added at IDTeam, 1 of three outlets from large beaver pond, will be made fish passable, channel work will be done to get water out of ditch;1/15/19DB-chg sched dt per AnnRpt","1/14/2019, 4:00 PM",DB,No,Yes,No,,,,,,,,-13812439.985867351,6034548.017459381
CWCC.02554,QIN.off,,12629,2690012,,,,,Bridge,47.5536876421,-124.056595978999,47.5536544570001,-124.056424363,unnamed,unnamed,Quinault,State,FR-Q-1200,QUEETS,Q_1200,,Jefferson,Queets River,21,No Barrier,100%,NA,No,,-99.99,-99.99,-999.9,-999.9,-99.99,,"REPLACE;12/28/17DBchg schd dt per AnnRpt;5/30/18-remove existing 30"" and 12"" culverts per FPA, bridge to be installed under separate FPA;1/3/19DB-per 18 AnnRpt fixed","1/2/2019, 4:00 PM",DB,Yes,No,No,,,,,,,,-13809897.989758667,6032917.48394643
CWCC.02634,QIN.on,932530,,,2311w15i,,,,Culvert,47.4836548288976,-124.055294696072,47.4839058200001,-124.055690493,Cedar Creek,Raft River,Quinault,Tribal,Logging rd NE T23 R11W S15,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,33%,Drop,Yes,"12/14/2008, 4:00 PM",0.9,0.9,12.3,0.400000005960464,1.39999997615814,,,"8/11/2020, 5:00 PM",bkrier,Yes,No,Yes,,43.275,1,1.53,1.53,0.25,0.91,-13809816.295684429,6021420.628372056
CWCC.02635,QIN.on,2311w14f,,,2311w14f,,,,Culvert,47.4796030198856,-124.044887785345,47.4795395730001,-124.044919971,unnamed,Lunch Creek,Quinault,Private,Logging rd SW T23 R11W S14,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,0%,Drop,Yes,"12/15/2008, 4:00 PM",0.8,0.8,18.5,1.20000004768372,0.800000011920929,,,,,No,No,No,,,,,,,,-13808617.326712633,6020701.4359607715
CWCC.02655,QIN.on,23.511w10a,,,23.511w10a,,,,Culvert,47.5186307534866,-124.091014387856,47.5182059800001,-124.090723585,unnamed,North Fork Raft River,Quinault,Tribal,Logging rd NE T235 R11W S10,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,33%,Drop,Yes,"10/28/2008, 5:00 PM",0.55,0.55,27.5,7.80000019073486,1.35000002384186,,slope estimated due to upper end being covered,,,Yes,No,Yes,,50.175,1,0.05,0.05,0,0,-13813716.1616171,6027072.50623528
CWCC.02656,QIN.on,23.511w03b,,,23.511w03b,,,,Culvert,47.5206328682671,-124.093328021423,47.5205978020001,-124.093304247,unnamed,North Fork Raft River,Quinault,Tribal,Logging rd SE T235 R11W S3,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,67%,Depth,Yes,"10/28/2008, 5:00 PM",0.95,0.95,14.2,1.5,1.5,,"Unable to complete a level b due to the stream turning a corner. Barrier Professional judgement
",,,Yes,No,Yes,,47.575,1,0.62,0.62,0,0.4,-13814003.43960666,6027466.761280587
CWCC.02700,QIN.on,2311w09a,,,2311w09a,,,,Culvert,47.5030407579114,-124.084927651382,47.5029467350001,-124.084860625,unnamed,North Fork Raft River,Quinault,Other,Logging rd NE T23 R11W S9,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,67%,Depth,Yes,"12/2/2008, 4:00 PM",1.45,1.45,15.3,1,1.20000004768372,,"Stream has went under the alder control structure. Professional judgement will continue to erode.
",,,Yes,No,Yes,Downstream 0% Passable Barrier,47.875,1,0.53,0.53,0,0.23,-13813063.499885071,6024557.677360094
CWCC.02701,QIN.on,2311w09f,,,2311w09f,,,,Culvert,47.4972708042904,-124.080480713391,47.49721278,-124.080411471,unnamed,North Fork Raft River,Quinault,Other,Logging rd SE T23 R11W S9,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,0%,Drop,Yes,"12/2/2008, 4:00 PM",0.9,0.9,18.4,5.69999980926514,0.899999976158142,,,,,Yes,No,Yes,,51.175,1,0.1,0.1,0,0,-13812568.222365566,6023612.870978124
CWCC.02702,WDFW March 2021,2311w16a,,,2311w16a,,,,Culvert,47.489824493323,-124.076100565981,47.4898244930001,-124.076100566,unnamed,Cedar Creek,Quinault,Private,Logging rd NE T23 R11W S16,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,33%,Slope,Yes,"12/28/2020, 4:00 PM",0.9,0.9,15.8,1.5,1.60000002384186,5.31,Gallatin;Harris observed adult resident trout US 01/21,"7/19/2021, 5:00 PM",rpepin,No,No,No,,,,,,,,-13812088.334637446,6022395.626050891
CWCC.02703,WDFW March 2021,2311w15b,,,2311w15b,,,,Culvert,47.4902028310426,-124.073028762478,47.4901825360001,-124.073175407,unnamed,Cedar Creek,Quinault,Tribal,Logging rd NW T23 R11W S15,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,0%,Drop,Yes,"12/28/2020, 4:00 PM",0.6,0.6,14.7,1.70000004768372,1.70000004768372,5.95,Gallatin;Harris observed juvenile salmonids US 1/2021,"7/19/2021, 5:00 PM",rpepin,Yes,No,Yes,,38.675,1,0.13,0.13,0,0,-13811762.70741452,6022454.610874139
CWCC.02704,QIN.on,2311w15g,,,2311w15g,,,,Culvert,47.4855292978917,-124.056000768074,47.4855487770001,-124.055954945,unnamed,Lunch Creek,Quinault,Tribal,Logging rd NW T23 R11W S15,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,0%,Drop,Yes,"12/3/2008, 4:00 PM",0.65,0.65,12.7,1,0.699999988079071,,smashed unable to measure slope,,,Yes,No,Yes,,43.375,2,0.28,0.28,0,0.08,-13809845.734295208,6021691.265646093
CWCC.02757,QIN.on,,,,2311w04b,,,,Culvert,47.5082075671872,-124.076872817095,47.5081607110001,-124.076798811,unnamed,North Fork Raft River,Quinault,Other,Logging rd NE T23 R11W S4,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,0%,Drop,Yes,"11/3/2008, 4:00 PM",0,0,5.6,1.5,0.899999976158142,,old puncheon collapsed and almost washed out.,,,Yes,No,Yes,,52.775,1,0.13,0.13,0,0,-13812166.062906703,6025416.894307361
CWCC.02799,QIN.on,23511w02a,,,23.511w02a,,,,Culvert,47.5266977400343,-124.083186122181,47.5268285280001,-124.083022441,unnamed,Salmon River,Quinault,Tribal,Logging rd NW T235 R11W S2,,,,Grays Harbor,Queets River,21,Barrier,0%,Drop/Slope,Yes,"8/2/2009, 5:00 PM",0.91,0.91,29,5,1.39999997615814,,upper end of pipe is mangled and has a hole in the top,,,Yes,No,Yes,Resident Only,46.275,1,0,0,0,0.21,-13812858.874273738,6028493.884913954
CWCC.02800,QIN.on,23511w01b,,,23.511w01b,,,,Culvert,47.5273283049954,-124.05793205345,47.5272957030001,-124.057849051,unnamed,Salmon River,Quinault,Tribal,Logging rd NW T235 R11W S1,,,,Grays Harbor,Queets River,21,Barrier,0%,Slope,Yes,"8/2/2009, 5:00 PM",0.91,0.91,32,10,1.20000004768372,,downstream end is crushed,,,Yes,No,Yes,,56.275,1,0.07,0.07,0,0.09,-13810056.585260222,6028570.902714568
CWCC.02801,QIN.on,23105w35a,,,2410.5w35a,,,,Culvert,47.5232367204098,-124.040514941761,47.523211067,-124.04046183,unnamed,South Fork Salmon River,Quinault,Tribal,Logging rd NW T23 R10.5W S35,,,,Jefferson,Queets River,21,Barrier,0%,Failed/Slope,Yes,"8/2/2009, 5:00 PM",1.21,1.21,40,15,2.59999990463257,,water flows underpipe. juvenile fish observed upstream,,,Yes,No,Yes,,58.275,1,0.37,0.37,0,0.29,-13808121.048674254,6027897.538235773
CWCC.02802,QIN.on,23511w02b,,,23.511w02b,,,,Culvert,47.5276181343052,-124.083066841064,47.5275232050001,-124.083294633,unnamed,Salmon River,Quinault,Tribal,Logging rd NW T235 R11W S2,,,,Grays Harbor,Queets River,21,Barrier,0%,Drop/Slope,Yes,"8/4/2009, 5:00 PM",1.21,1.21,34.5,6,2.20000004768372,,,,,Yes,No,Yes,Resident Only,47.775,1,0,0,0,0.34,-13812889.1744569,6028608.408778681
CWCC.02820,QIN.on,23105w02c,,,2310.5w02c,,,,Culvert,47.5053107696407,-124.030018891492,47.5053107700001,-124.030018891,unnamed,South Fork Salmon River,Quinault,Tribal,Logging rd SE T23 R10.5W S2,,,,Grays Harbor,Queets River,21,Barrier,33%,Slope,Yes,"8/25/2009, 5:00 PM",4.35,4.35,23.4,2.09999990463257,7.19999980926514,,has logs stuck in the upper end,"8/11/2020, 5:00 PM",bkrier,No,No,No,,,,,,,,-13806958.546037868,6024947.238733469
CWCC.02962,WDFW March 2021,2310w21a,,,2310w21a,,,,Culvert,47.4738749789461,-123.967529286096,47.473947679,-123.967370974,unnamed,Prairie Creek,Quinault,Federal,Logging rd NW T23 R10 S21,,,,Grays Harbor,Lower Quinault River,21,Barrier,67%,Velocity,Yes,"4/20/2010, 5:00 PM",2,1.45,9.2,0.5,2.5,,upstream end is armored with large rocks. barrier professional judgment culvert is rotten stream channel looks manmade,"8/2/2021, 5:00 PM",rpepin,Yes,No,Yes,,52.25,1,1.58,1.58,0.24,2.45,-13799984.611821814,6019780.4469008865
CWCC.02965,QIN.on,,,,2311w14n,,,,Culvert,47.4776542633315,-124.039622014463,47.477680278,-124.03968651,unnamed,Lunch Creek,Quinault,Private,Logging rd SE T23 R11W S14,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,0%,Failed,Yes,"4/28/2010, 5:00 PM",0.45,0.45,10,1,2,,undersized culvert with puncheon and cedar blocks,,,Yes,No,Yes,,42.175,2,0.13,0.13,0,0.08,-13808034.740422836,6020395.197878839
CWCC.02974,QIN.on,2311w24c,,,2311w24c,,,,Culvert,47.475639287492,-124.01463769343,47.4752852140001,-124.014360501,unnamed,Boulder Creek,Quinault,Private,Logging rd NE T23 R11 S24,,,,Grays Harbor,Lower Quinault River,21,Barrier,0%,Slope,Yes,"5/5/2010, 5:00 PM",0.6,0.6,14.2,1.54999995231628,0.800000011920929,,large rocks at inlet,,,Yes,No,Yes,,55.525,1,1.21,1.21,0.3,1.15,-13805215.461980062,6020000.730987039
